LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
57m         Normal    Started                pod/tcc-api-canary-86c5dc54d7-bpr5p              Started container tcc-api
57m         Normal    Created                pod/tcc-api-canary-86c5dc54d7-bpr5p              Created container: tcc-api
57m         Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-bpr5p              Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Warning   AnalysisRunFailed      rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Failed' Previous: 'Running'
55m         Warning   AnalysisRunFailed      analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Analysis Completed. Result: Failed
55m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'success-rate' Completed. Result: Successful
55m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'latency-p95' Completed. Result: Successful
55m         Warning   MetricFailed           analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'error-rate' Completed. Result: Failed
55m         Warning   RolloutAborted         rollout/tcc-api-bluegreen                        Rollout aborted update to revision 6: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
55m         Warning   MetricFailed           analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'error-rate' Completed. Result: Failed
55m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'success-rate' Completed. Result: Successful
55m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'latency-p95' Completed. Result: Successful
55m         Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-b669fbb57-11-2        Analysis Completed. Result: Failed
55m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-b669fbb57-11-2' Status New: 'Failed' Previous: 'Running'
55m         Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 11: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
55m         Normal    Killing                pod/tcc-api-canary-b669fbb57-gw924               Stopping container tcc-api
55m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-b669fbb57              Deleted pod: tcc-api-canary-b669fbb57-gw924
55m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-b669fbb57 (revision 11) from 1 to 0
55m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-mphsd           Stopping container tcc-api
55m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 4 to 0
55m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-f8jbt           Stopping container tcc-api
55m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-r927n           Stopping container tcc-api
55m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-r927n
