LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
55m         Normal    Pulled                 pod/tcc-api-canary-b669fbb57-gw924               Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Normal    RolloutStepCompleted   rollout/tcc-api-canary                           Rollout step 1/6 completed (setWeight: 20)
55m         Normal    AnalysisRunRunning     rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Running' Previous: ''
55m         Normal    RolloutPaused          rollout/tcc-api-canary                           Rollout is paused (CanaryPauseStep)
55m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-bpr5p
55m         Normal    Killing                pod/tcc-api-canary-86c5dc54d7-xs5fn              Stopping container tcc-api
55m         Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-bpr5p              Container image "gabrieldores/tcc-api:v1" already present on machine
55m         Normal    Started                pod/tcc-api-canary-86c5dc54d7-bpr5p              Started container tcc-api
55m         Normal    Created                pod/tcc-api-canary-86c5dc54d7-bpr5p              Created container: tcc-api
55m         Normal    RolloutStepCompleted   rollout/tcc-api-canary                           Rollout step 2/6 completed (pause: 30s)
53m         Warning   AnalysisRunFailed      rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Failed' Previous: 'Running'
53m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'success-rate' Completed. Result: Successful
53m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'latency-p95' Completed. Result: Successful
53m         Warning   AnalysisRunFailed      analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Analysis Completed. Result: Failed
53m         Warning   MetricFailed           analysisrun/tcc-api-bluegreen-787bdcb856-6-pre   Metric 'error-rate' Completed. Result: Failed
53m         Warning   RolloutAborted         rollout/tcc-api-bluegreen                        Rollout aborted update to revision 6: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
53m         Warning   MetricFailed           analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'error-rate' Completed. Result: Failed
53m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'success-rate' Completed. Result: Successful
53m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-b669fbb57-11-2        Metric 'latency-p95' Completed. Result: Successful
53m         Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-b669fbb57-11-2        Analysis Completed. Result: Failed
53m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-b669fbb57-11-2' Status New: 'Failed' Previous: 'Running'
53m         Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 11: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
53m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-b669fbb57 (revision 11) from 1 to 0
53m         Normal    Killing                pod/tcc-api-canary-b669fbb57-gw924               Stopping container tcc-api
53m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-b669fbb57              Deleted pod: tcc-api-canary-b669fbb57-gw924
53m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-f8jbt
53m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-r927n           Stopping container tcc-api
53m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-6hbwq
53m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-r927n
53m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-mphsd
53m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-mphsd           Stopping container tcc-api
53m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-6hbwq           Stopping container tcc-api
53m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-f8jbt           Stopping container tcc-api
53m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 4 to 0
49m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 7
46m         Normal    RolloutUpdated         rollout/tcc-api-canary                           Rollout updated to revision 12
46m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-787bdcb856             Created pod: tcc-api-canary-787bdcb856-v9s66
46m         Normal    Pulled                 pod/tcc-api-canary-787bdcb856-v9s66              Container image "gabrieldores/tcc-api:v1" already present on machine
46m         Normal    Created                pod/tcc-api-canary-787bdcb856-v9s66              Created container: tcc-api
46m         Normal    Started                pod/tcc-api-canary-787bdcb856-v9s66              Started container tcc-api
45m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-qpjhd
45m         Normal    Killing                pod/tcc-api-canary-86c5dc54d7-74d5r              Stopping container tcc-api
45m         Normal    Created                pod/tcc-api-canary-86c5dc54d7-qpjhd              Created container: tcc-api
45m         Normal    Started                pod/tcc-api-canary-86c5dc54d7-qpjhd              Started container tcc-api
45m         Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-qpjhd              Container image "gabrieldores/tcc-api:v1" already present on machine
43m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'success-rate' Completed. Result: Successful
43m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'latency-p95' Completed. Result: Successful
43m         Warning   MetricFailed           analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'error-rate' Completed. Result: Failed
43m         Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-787bdcb856-12-2       Analysis Completed. Result: Failed
43m         Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 12: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
43m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-12-2' Status New: 'Failed' Previous: 'Running'
43m         Normal    Killing                pod/tcc-api-canary-787bdcb856-v9s66              Stopping container tcc-api
43m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 12) from 1 to 0
43m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-v9s66
36m         Normal    RolloutNotCompleted    rollout/tcc-api-bluegreen                        Rollout not completed, started update to revision 8 (787bdcb856)
36m         Normal    SwitchService          rollout/tcc-api-bluegreen                        Switched selector for service 'tcc-api-preview' from '86c5dc54d7' to '787bdcb856'
36m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 8
36m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 8) from 0 to 4
36m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-d82k8
36m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-njxbw
36m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-hln8h
36m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-5f5bc
36m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-njxbw           Container image "gabrieldores/tcc-api:v1" already present on machine
36m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-hln8h           Started container tcc-api
36m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-d82k8           Created container: tcc-api
36m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-5f5bc           Created container: tcc-api
