LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
61s         Normal    RolloutNotCompleted       rollout/tcc-api-canary                            Rollout not completed, started update to revision 18 (787bdcb856)
61s         Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 18
60s         Normal    ScalingReplicaSet         rollout/tcc-api-canary                            Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 18) from 0 to 1
60s         Normal    SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856              Created pod: tcc-api-canary-787bdcb856-kp7nm
59s         Normal    Created                   pod/tcc-api-canary-787bdcb856-kp7nm               Created container: tcc-api
59s         Normal    Pulled                    pod/tcc-api-canary-787bdcb856-kp7nm               Container image "gabrieldores/tcc-api:v1" already present on machine
59s         Normal    Started                   pod/tcc-api-canary-787bdcb856-kp7nm               Started container tcc-api
47s         Normal    RolloutStepCompleted      rollout/tcc-api-canary                            Rollout step 1/6 completed (setWeight: 20)
46s         Normal    RolloutPaused             rollout/tcc-api-canary                            Rollout is paused (CanaryPauseStep)
32s         Normal    Killing                   pod/tcc-api-bluegreen-86c5dc54d7-ghhx6            Stopping container tcc-api
32s         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-86c5dc54d7           Created pod: tcc-api-bluegreen-86c5dc54d7-5mm8m
30s         Normal    Created                   pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Created container: tcc-api
30s         Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Started container tcc-api
30s         Normal    Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Container image "gabrieldores/tcc-api:v1" already present on machine
15s         Normal    RolloutStepCompleted      rollout/tcc-api-canary                            Rollout step 2/6 completed (pause: 30s)
