LAST SEEN   TYPE      REASON                 OBJECT                                            MESSAGE
45m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-hln8h            Started container tcc-api
45m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-d82k8            Started container tcc-api
45m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-njxbw            Container image "gabrieldores/tcc-api:v1" already present on machine
45m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-5f5bc            Container image "gabrieldores/tcc-api:v1" already present on machine
45m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-d82k8            Created container: tcc-api
45m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-5f5bc            Created container: tcc-api
44m         Normal    AnalysisRunRunning     rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-8-pre' Status New: 'Running' Previous: ''
44m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-sgpkv
44m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-njxbw            Stopping container tcc-api
44m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-sgpkv            Started container tcc-api
44m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-sgpkv            Created container: tcc-api
44m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-sgpkv            Container image "gabrieldores/tcc-api:v1" already present on machine
44m         Warning   MetricError            analysisrun/tcc-api-bluegreen-787bdcb856-8-pre    Metric 'error-rate' Completed. Result: Error
44m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-8-pre    Metric 'success-rate' Completed. Result: Successful
44m         Warning   RolloutAborted         rollout/tcc-api-bluegreen                         Rollout aborted update to revision 8: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Error due to consecutiveErrors (5) > consecutiveErrorLimit (4): "Error Message: reflect: slice index out of range"
44m         Warning   AnalysisRunError       analysisrun/tcc-api-bluegreen-787bdcb856-8-pre    Analysis Completed. Result: Error
44m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-8-pre    Metric 'latency-p95' Completed. Result: Successful
44m         Warning   AnalysisRunError       rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-8-pre' Status New: 'Error' Previous: 'Running'
43m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-d82k8            Stopping container tcc-api
43m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-5f5bc
43m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-5f5bc            Stopping container tcc-api
43m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-hln8h
43m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-sgpkv            Stopping container tcc-api
43m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                         Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 8) from 4 to 0
43m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-sgpkv
43m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-d82k8
43m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-hln8h            Stopping container tcc-api
37m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                         Rollout updated to revision 9
37m         Normal    SwitchService          rollout/tcc-api-bluegreen                         Switched selector for service 'tcc-api-preview' from '787bdcb856' to '86c5dc54d7'
7m32s       Normal    RolloutUpdated         rollout/tcc-api-canary                            Rollout updated to revision 14
7m32s       Normal    RolloutNotCompleted    rollout/tcc-api-canary                            Rollout not completed, started update to revision 14 (787bdcb856)
7m31s       Normal    SuccessfulCreate       replicaset/tcc-api-canary-787bdcb856              Created pod: tcc-api-canary-787bdcb856-7cdhz
7m31s       Normal    ScalingReplicaSet      rollout/tcc-api-canary                            Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 14) from 0 to 1
7m29s       Normal    Started                pod/tcc-api-canary-787bdcb856-7cdhz               Started container tcc-api
7m29s       Normal    Created                pod/tcc-api-canary-787bdcb856-7cdhz               Created container: tcc-api
7m29s       Normal    Pulled                 pod/tcc-api-canary-787bdcb856-7cdhz               Container image "gabrieldores/tcc-api:v1" already present on machine
7m16s       Normal    RolloutStepCompleted   rollout/tcc-api-canary                            Rollout step 1/6 completed (setWeight: 20)
7m15s       Normal    RolloutPaused          rollout/tcc-api-canary                            Rollout is paused (CanaryPauseStep)
7m2s        Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7              Created pod: tcc-api-canary-86c5dc54d7-7qfmq
7m2s        Normal    Killing                pod/tcc-api-canary-86c5dc54d7-hhwnj               Stopping container tcc-api
