LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
59s         Normal    Scheduled                 pod/tcc-api-bluegreen-787bdcb856-zqb9f            Successfully assigned app-tcc/tcc-api-bluegreen-787bdcb856-zqb9f to vmi3069651
24m         Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 16
24m         Normal    RolloutNotCompleted       rollout/tcc-api-canary                            Rollout not completed, started update to revision 16 (787bdcb856)
24m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                            Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 16) from 0 to 1
24m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856              Created pod: tcc-api-canary-787bdcb856-b2zkj
24m         Normal    Pulled                    pod/tcc-api-canary-787bdcb856-b2zkj               Container image "gabrieldores/tcc-api:v1" already present on machine
24m         Normal    Created                   pod/tcc-api-canary-787bdcb856-b2zkj               Created container: tcc-api
24m         Normal    Started                   pod/tcc-api-canary-787bdcb856-b2zkj               Started container tcc-api
24m         Normal    Killing                   pod/tcc-api-bluegreen-86c5dc54d7-cxxlc            Stopping container tcc-api
24m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-86c5dc54d7           Created pod: tcc-api-bluegreen-86c5dc54d7-7r79g
24m         Normal    Created                   pod/tcc-api-bluegreen-86c5dc54d7-7r79g            Created container: tcc-api
24m         Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-7r79g            Started container tcc-api
24m         Normal    Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-7r79g            Container image "gabrieldores/tcc-api:v1" already present on machine
23m         Normal    AnalysisRunRunning        rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-16-2' Status New: 'Running' Previous: ''
23m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-16-2        Metric 'success-rate' Completed. Result: Successful
23m         Normal    MetricInconclusive        analysisrun/tcc-api-canary-787bdcb856-16-2        Metric 'error-rate' Completed. Result: Inconclusive
23m         Normal    AnalysisRunInconclusive   analysisrun/tcc-api-canary-787bdcb856-16-2        Analysis Completed. Result: Inconclusive
23m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-16-2        Metric 'latency-p95' Completed. Result: Successful
23m         Normal    AnalysisRunInconclusive   rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-16-2' Status New: 'Inconclusive' Previous: 'Running'
23m         Normal    RolloutPaused             rollout/tcc-api-canary                            Rollout is paused (InconclusiveAnalysisRun)
18m         Normal    SkipSteps                 rollout/tcc-api-canary                            Rollback to stable ReplicaSets
18m         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                         Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 12) from 0 to 4
18m         Normal    RolloutResumed            rollout/tcc-api-canary                            Rollout is resumed
18m         Normal    RolloutNotCompleted       rollout/tcc-api-bluegreen                         Rollout not completed, started update to revision 12 (787bdcb856)
18m         Normal    RolloutUpdated            rollout/tcc-api-bluegreen                         Rollout updated to revision 12
18m         Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 17
18m         Normal    SuccessfulDelete          replicaset/tcc-api-canary-787bdcb856              Deleted pod: tcc-api-canary-787bdcb856-b2zkj
