LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
57s         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-4b4sh           Started container tcc-api
57s         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-zfxpg           Started container tcc-api
44s         Normal    AnalysisRunRunning     rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-4-pre' Status New: 'Running' Previous: ''
31s         Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-7s5rb
31s         Normal    Killing                pod/tcc-api-canary-86c5dc54d7-wzxq2              Stopping container tcc-api
30s         Normal    Created                pod/tcc-api-canary-86c5dc54d7-7s5rb              Created container: tcc-api
30s         Normal    Started                pod/tcc-api-canary-86c5dc54d7-7s5rb              Started container tcc-api
30s         Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-7s5rb              Container image "gabrieldores/tcc-api:v1" already present on machine
5s          Warning   MetricError            analysisrun/tcc-api-bluegreen-787bdcb856-4-pre   Metric 'error-rate' Completed. Result: Error
5s          Warning   AnalysisRunError       rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-4-pre' Status New: 'Error' Previous: 'Running'
5s          Warning   AnalysisRunError       analysisrun/tcc-api-bluegreen-787bdcb856-4-pre   Analysis Completed. Result: Error
5s          Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-4-pre   Metric 'latency-p95' Completed. Result: Successful
5s          Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-4-pre   Metric 'success-rate' Completed. Result: Successful
4s          Warning   RolloutAborted         rollout/tcc-api-bluegreen                        Rollout aborted update to revision 4: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Error due to consecutiveErrors (5) > consecutiveErrorLimit (4): "Error Message: reflect: slice index out of range"
