NAME                                 READY   STATUS    RESTARTS   AGE
tcc-api-bluegreen-787bdcb856-4b4sh   1/1     Running   0          60s
tcc-api-bluegreen-787bdcb856-jlmq8   1/1     Running   0          60s
tcc-api-bluegreen-787bdcb856-xwfz6   1/1     Running   0          60s
tcc-api-bluegreen-787bdcb856-zfxpg   1/1     Running   0          60s
tcc-api-bluegreen-86c5dc54d7-ld76c   1/1     Running   0          6d19h
tcc-api-bluegreen-86c5dc54d7-ptgjg   1/1     Running   0          6d19h
tcc-api-bluegreen-86c5dc54d7-pxhrf   1/1     Running   0          44h
tcc-api-bluegreen-86c5dc54d7-sqkhn   1/1     Running   0          6d19h
tcc-api-canary-86c5dc54d7-74d5r      1/1     Running   0          6d19h
tcc-api-canary-86c5dc54d7-7s5rb      1/1     Running   0          32s
tcc-api-canary-86c5dc54d7-hhwnj      1/1     Running   0          44h
tcc-api-canary-86c5dc54d7-xs5fn      1/1     Running   0          6d19h
