LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
49m         Warning   MetricFailed           analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'error-rate' Completed. Result: Failed
49m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-12-2' Status New: 'Failed' Previous: 'Running'
49m         Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 12: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
49m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 12) from 1 to 0
49m         Normal    Killing                pod/tcc-api-canary-787bdcb856-v9s66              Stopping container tcc-api
49m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-v9s66
42m         Normal    SwitchService          rollout/tcc-api-bluegreen                        Switched selector for service 'tcc-api-preview' from '86c5dc54d7' to '787bdcb856'
42m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 8
42m         Normal    RolloutNotCompleted    rollout/tcc-api-bluegreen                        Rollout not completed, started update to revision 8 (787bdcb856)
42m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 8) from 0 to 4
42m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-d82k8
42m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-njxbw
42m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-hln8h
42m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-5f5bc
42m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-d82k8           Created container: tcc-api
42m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-5f5bc           Started container tcc-api
42m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-hln8h           Started container tcc-api
42m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-hln8h           Created container: tcc-api
42m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-5f5bc           Container image "gabrieldores/tcc-api:v1" already present on machine
42m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-d82k8           Started container tcc-api
42m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-hln8h           Container image "gabrieldores/tcc-api:v1" already present on machine
42m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-njxbw           Container image "gabrieldores/tcc-api:v1" already present on machine
42m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-d82k8           Container image "gabrieldores/tcc-api:v1" already present on machine
42m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-njxbw           Created container: tcc-api
42m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-njxbw           Started container tcc-api
42m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-5f5bc           Created container: tcc-api
42m         Normal    AnalysisRunRunning     rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-8-pre' Status New: 'Running' Previous: ''
42m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-sgpkv
42m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-njxbw           Stopping container tcc-api
42m         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-sgpkv           Created container: tcc-api
42m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-sgpkv           Started container tcc-api
42m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-sgpkv           Container image "gabrieldores/tcc-api:v1" already present on machine
41m         Warning   AnalysisRunError       rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-8-pre' Status New: 'Error' Previous: 'Running'
41m         Warning   RolloutAborted         rollout/tcc-api-bluegreen                        Rollout aborted update to revision 8: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Error due to consecutiveErrors (5) > consecutiveErrorLimit (4): "Error Message: reflect: slice index out of range"
41m         Warning   MetricError            analysisrun/tcc-api-bluegreen-787bdcb856-8-pre   Metric 'error-rate' Completed. Result: Error
41m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-8-pre   Metric 'success-rate' Completed. Result: Successful
41m         Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-8-pre   Metric 'latency-p95' Completed. Result: Successful
41m         Warning   AnalysisRunError       analysisrun/tcc-api-bluegreen-787bdcb856-8-pre   Analysis Completed. Result: Error
41m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-5f5bc
41m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 8) from 4 to 0
41m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-hln8h
41m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-d82k8
41m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-sgpkv           Stopping container tcc-api
41m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-5f5bc           Stopping container tcc-api
41m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-sgpkv
41m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-d82k8           Stopping container tcc-api
41m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-hln8h           Stopping container tcc-api
35m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 9
35m         Normal    SwitchService          rollout/tcc-api-bluegreen                        Switched selector for service 'tcc-api-preview' from '787bdcb856' to '86c5dc54d7'
5m7s        Normal    RolloutUpdated         rollout/tcc-api-canary                           Rollout updated to revision 14
5m7s        Normal    RolloutNotCompleted    rollout/tcc-api-canary                           Rollout not completed, started update to revision 14 (787bdcb856)
5m6s        Normal    SuccessfulCreate       replicaset/tcc-api-canary-787bdcb856             Created pod: tcc-api-canary-787bdcb856-7cdhz
5m6s        Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 14) from 0 to 1
5m4s        Normal    Started                pod/tcc-api-canary-787bdcb856-7cdhz              Started container tcc-api
5m4s        Normal    Created                pod/tcc-api-canary-787bdcb856-7cdhz              Created container: tcc-api
5m4s        Normal    Pulled                 pod/tcc-api-canary-787bdcb856-7cdhz              Container image "gabrieldores/tcc-api:v1" already present on machine
4m51s       Normal    RolloutStepCompleted   rollout/tcc-api-canary                           Rollout step 1/6 completed (setWeight: 20)
4m50s       Normal    RolloutPaused          rollout/tcc-api-canary                           Rollout is paused (CanaryPauseStep)
4m37s       Normal    Killing                pod/tcc-api-canary-86c5dc54d7-hhwnj              Stopping container tcc-api
4m37s       Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-7qfmq
4m36s       Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-7qfmq              Container image "gabrieldores/tcc-api:v1" already present on machine
4m36s       Normal    Started                pod/tcc-api-canary-86c5dc54d7-7qfmq              Started container tcc-api
4m36s       Normal    Created                pod/tcc-api-canary-86c5dc54d7-7qfmq              Created container: tcc-api
4m20s       Normal    RolloutStepCompleted   rollout/tcc-api-canary                           Rollout step 2/6 completed (pause: 30s)
4m20s       Normal    RolloutResumed         rollout/tcc-api-canary                           Rollout is resumed
4m18s       Normal    AnalysisRunRunning     rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-14-2' Status New: 'Running' Previous: ''
2m19s       Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-14-2       Metric 'success-rate' Completed. Result: Successful
2m19s       Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-787bdcb856-14-2       Analysis Completed. Result: Failed
2m19s       Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-14-2       Metric 'latency-p95' Completed. Result: Successful
2m19s       Warning   MetricFailed           analysisrun/tcc-api-canary-787bdcb856-14-2       Metric 'error-rate' Completed. Result: Failed
2m17s       Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-14-2' Status New: 'Failed' Previous: 'Running'
2m17s       Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 14: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
2m16s       Normal    SuccessfulDelete       replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-7cdhz
2m16s       Normal    Killing                pod/tcc-api-canary-787bdcb856-7cdhz              Stopping container tcc-api
2m16s       Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 14) from 1 to 0
